date,events
2016-08-09,1
2016-08-10,1
2016-08-11,1
2016-08-16,1
2016-08-17,1
2016-08-18,1
2016-08-23,1
2016-08-24,1
2016-08-25,1
2016-08-30,1
2016-08-31,1
2016-09-01,1
2016-09-03,1
2016-09-04,1
2016-09-05,1
2016-09-06,1
2016-09-07,1
2016-09-08,1
2016-09-13,1
2016-09-14,1
2016-09-15,1
2016-09-20,1
2016-09-21,1
2016-09-22,1
2016-09-27,1
2016-09-28,1
2016-09-29,1
2016-09-30,1
2016-10-01,2
2016-10-02,2
2016-10-03,1
2016-10-04,1
2016-10-05,3
2016-10-06,3
2016-10-07,3
2016-10-08,1
2016-10-09,1
2016-10-11,1
2016-10-12,1
2016-10-13,1
2016-10-14,1
2016-10-15,1
2016-10-16,1
2016-10-18,1
2016-10-19,1
2016-10-20,1
2016-10-21,1
2016-10-22,1
2016-10-23,1
2016-10-24,1
2016-10-25,2
2016-10-26,3
2016-10-27,3
2016-10-28,3
2016-10-29,2
2016-10-30,1
2016-11-01,1
2016-11-02,1
2016-11-03,2
2016-11-04,2
2016-11-05,2
2016-11-06,2
2016-11-07,2
2016-11-08,3
2016-11-09,3
2016-11-10,3
2016-11-11,4
2016-11-12,4
2016-11-13,3
2016-11-14,2
2016-11-15,2
2016-11-16,2
2016-11-17,2
2016-11-18,2
2016-11-19,2
2016-11-20,1
2016-11-22,1
2016-11-23,1
2016-11-24,1
2016-11-25,1
2016-11-26,1
2016-11-27,1
2016-11-29,1
2016-11-30,1
2016-12-01,1
2016-12-02,1
2016-12-03,1
2016-12-04,1
2016-12-16,1
2016-12-17,2
2016-12-18,2
2016-12-19,2
2016-12-20,2
2016-12-21,2
2016-12-22,1
2017-01-02,1
2017-01-03,2
2017-01-04,2
2017-01-05,2
2017-01-06,1
2017-01-07,1
2017-01-09,1
2017-01-10,2
2017-01-11,3
2017-01-12,3
2017-01-13,3
2017-01-14,3
2017-01-15,2
2017-01-16,2
2017-01-17,2
2017-01-18,3
2017-01-19,2
2017-01-20,2
2017-01-21,3
2017-01-22,4
2017-01-23,3
2017-01-24,2
2017-01-25,1
2017-01-26,2
2017-01-27,1
2017-01-28,1
2017-01-30,1
2017-01-31,3
2017-02-01,3
2017-02-02,2
2017-02-07,2
2017-02-08,2
2017-02-09,3
2017-02-10,2
2017-02-11,3
2017-02-12,2
2017-02-13,1
2017-02-14,1
